Problem1
Part1,31,20,6
Part2,7,19,8
Part3,32,28,20
stock,400,286
Problem2
Part1,16,23,2
Part2,24,39,19
Part3,39,16,15
Part4,7,14,2
Part5,39,23,16
Part6,23,14,19
Part7,21,7,3
Part8,23,4,19
Part9,3,29,12
Part10,28,10,12
stock,390,284
Problem3
Part1,21,2,8
Part2,24,17,16
stock,481,333
Problem4
Part1,3,13,4
Part2,31,24,18
Part3,5,34,14
Part4,35,10,11
Part5,16,17,17
Part6,1,14,20
Part7,11,15,17
Part8,3,35,15
Part9,28,35,20
Part10,10,1,13
Part11,18,27,18
stock,478,441
Problem5
Part1,1,6,14
Part2,40,3,14
Part3,27,18,9
Part4,6,34,14
Part5,21,31,14
Part6,9,32,19
Part7,12,34,6
Part8,18,8,18
Part9,18,40,9
stock,204,8
Problem6
Part1,30,34,18
Part2,7,31,19
Part3,18,12,16
Part4,38,32,15
Part5,38,10,19
stock,1,62
Problem7
Part1,5,17,15
Part2,34,17,6
Part3,2,29,19
Part4,23,30,16
Part5,12,22,8
Part6,26,2,5
Part7,27,36,4
Part8,11,38,11
stock,272,338
Problem8
Part1,39,38,9
Part2,30,10,8
Part3,39,18,4
Part4,5,13,16
Part5,21,13,17
stock,147,206
Problem9
Part1,4,6,13
Part2,10,22,8
Part3,35,30,17
Part4,20,33,20
Part5,36,24,18
Part6,18,20,13
Part7,14,33,19
stock,484,217
Problem10
Part1,30,38,19
Part2,1,12,5
Part3,1,13,5
Part4,10,16,15
Part5,14,15,6
Part6,40,16,10
Part7,3,14,16
Part8,30,34,20
Part9,3,26,19
Part10,30,32,6
Part11,23,14,4
Part12,10,40,8
stock,136,255
